Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Owned By,Owned By,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3202339,Payment Module,payment module,,,,epic,,,"Dec 12, 2016",,,,working on the module to process payment,https://www.pivotaltracker.com/epic/show/3202339,,,,,,,,,,,,,,,,,,,,
3195597,Staff Maintenance Module,staff maintenence module,,,,epic,,,"Nov 30, 2016",,,,"Working on all the module which including adding the staff, retrieving staff details and etc",https://www.pivotaltracker.com/epic/show/3195597,,,,,,,,,,,,,,,,,,,,
3195595,System User Module,system user module,,,,epic,,,"Nov 30, 2016",,,,"Working on the module which including for the user to log in, user retrieve back their password and log out",https://www.pivotaltracker.com/epic/show/3195595,,,,,,,,,,,,,,,,,,,,
3195593,Route Module,route module,,,,epic,,,"Nov 30, 2016",,,,Working on the route of the bus,https://www.pivotaltracker.com/epic/show/3195593,,,,,,,,,,,,,,,,,,,,
3195591,Bus Schedule Management Module,bus schedule management module,,,,epic,,,"Nov 30, 2016",,,,Working on the module which include about the bus scheduling,https://www.pivotaltracker.com/epic/show/3195591,,,,,,,,,,,,,,,,,,,,
3195589,Bus Management Module,bus management module,,,,epic,,,"Nov 30, 2016",,,,Working on the module to manage the bus,https://www.pivotaltracker.com/epic/show/3195589,,,,,,,,,,,,,,,,,,,,
3195587,Report Module,report module,,,,epic,,,"Nov 30, 2016",,,,Working on the module to generate report,https://www.pivotaltracker.com/epic/show/3195587,,,,,,,,,,,,,,,,,,,,
3195585,Ticket Exchange Module,ticket exchange module,,,,epic,,,"Nov 30, 2016",,,,Working on the module which allow user to exchange their bus ticket,https://www.pivotaltracker.com/epic/show/3195585,,,,,,,,,,,,,,,,,,,,
3195583,Ticket Ordering Module,ticket ordering module,,,,epic,,,"Dec 5, 2016",,,,Working on the module for ticket ordering,https://www.pivotaltracker.com/epic/show/3195583,,,,,,,,,,,,,,,,,,,,
135769579,Add new Staff,staff maintenence module,1,"Nov 21, 2016","Nov 27, 2016",feature,2,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a manager, I should able to add new staff so that I can increase the number of staff when new staff join the company.",https://www.pivotaltracker.com/story/show/135769579,,,Bryan Voon,,,,,,"Design a UI with textfields which include Name,IC,Contact No,Address,Email to let the user key in the new staff details,radio button also provided for gender and position selection.Provide three buttons which are ""Confirm"" , ""Reset"" and ""Back"" button for user to select.",completed,Make the system able to add the new staff details into the database.,completed,Prompt successful message if the new staff detail successful added into the database,completed
135769581,Login,system user module,1,"Nov 21, 2016","Nov 27, 2016",feature,2,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a user of the system, I should have a username and password so that I can log in into the system to use the functions of the system.",https://www.pivotaltracker.com/story/show/135769581,,,,,,,,,"Design a UI with textfield which include Username and password to let the user key in username and password.Provide ""Login"", ""Reset"" and ""Forget Password"" buttons for user to select.",completed,Make the system able to verify the username and password through database,completed,Prompt error message when username or password is incorrect,completed,Prompt successful message when the username and password are correct,completed,Redirect the user to the homepage of the system,completed
135769583,View staff information in detail,staff maintenence module,1,"Nov 21, 2016","Nov 27, 2016",feature,1,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a manager, I should able to view staff information in detail so that I can clearly know about my staff.",https://www.pivotaltracker.com/story/show/135769583,,,Bryan Voon,,,,,,"Design a UI with drop down list to let user select staff based on staff ID.Provide ""Retrieve"", ""Reset"" and ""Back"" buttons for user to select.",completed,Make the system able to retrieve the staff information from the database,completed,"Display the staff information which include Name,Date of Birth,IC,Gender,Contact No,Address,Email,Position and Status.",completed
135769585,Add new Route,route module,1,"Nov 21, 2016","Nov 27, 2016",feature,3,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a manager, I should able to add new route so that I can create more route for the customer to choose.",https://www.pivotaltracker.com/story/show/135769585,,,,,,,,,"Design a UI which textfields such as Destination and Price to let user key in destination and price.Provide ""Confirm"", ""Reset"" and ""Back"" buttons for user to select.",completed,Make the system able to add new route details into the database.,completed
135769587,Update Staff Details,staff maintenence module,1,"Nov 21, 2016","Nov 27, 2016",feature,2,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a manager, I should able to update staff information so that the staff information always up-to-date.",https://www.pivotaltracker.com/story/show/135769587,,,Bryan Voon,,,,,,"Design a UI with drop down list function for user to select staff based on staff ID.Provide ""Update"", ""Reset"" and ""Back"" buttons for user to select.",completed,Make the system able to retrieve the staff information from the database.,completed,"Display the staff information which include Name,Date of Birth,IC,Gender,Contact No,Address,Email,Position and Status.",completed,Provide update function so that manager able to modify the staff information.,completed,Make the system able to update the staff information in the database.,completed,Display successful updated message if the update successful.,completed
135769591,Update Route ,route module,1,"Nov 21, 2016","Nov 27, 2016",feature,2,accepted,"Nov 22, 2016","Nov 26, 2016",,Bryan Voon,"As a manager, I should able to update route so that I can modify the route information from time to time.",https://www.pivotaltracker.com/story/show/135769591,,,,,,,,,Design a UI with the drop down list function for user to select route based on route name for updating.,completed,Make the system able to retrieve route information from the database.,completed,Display the route information such as Price,completed,Provide update function so that manager able to modify the route information,completed,Make the system able to update the route information in the database.,completed,Display successful updated message if update successful.,completed
